"FORM_ID","DATE","FROM","TO","LV_TIME","ARR_TIME","CAR_CLASS","LINE","FORM_DIR","OCCUPANCY"
1,"03/04/2012 00:00:00","23 St / 8 Ave","14 St / 8 Ave","12/30/1899 18:43:00","12/30/1899 18:44:00","R32","C","R",0.7
2,"03/07/2012 00:00:00","Newkirk Plaza","Church Ave","12/30/1899 16:44:00","12/30/1899 16:46:00","R68","B","L",0.39
3,"03/07/2012 00:00:00","Church Ave","Prospect Park","12/30/1899 16:47:00","12/30/1899 16:49:00","R68","B","R",0.69
4,"03/07/2012 00:00:00","Prospect Park","7 Ave (Brighton line)","12/30/1899 16:50:00","12/30/1899 16:52:00","R68","B","L",0.61
6,"03/07/2012 00:00:00","Atlantic Ave","DeKalb Ave","12/30/1899 16:55:00","12/30/1899 16:57:00","R68","B","L",0.4
7,"03/08/2012 00:00:00","Grand St","Atlantic Ave (Pacific St)","12/30/1899 07:08:00","12/30/1899 07:18:00","R68","D","L",0.24
8,"03/08/2012 00:00:00","7Ave (Brighton line)","Prospect Park","12/30/1899 07:24:00","12/30/1899 07:26:00","R68","B","R",0.5
9,"03/08/2012 00:00:00","Church Ave","Newkirk Plaza","12/30/1899 07:29:00","12/30/1899 07:31:00","R68","B","L",0.71
10,"03/05/2012 00:00:00","Church Ave","Newkirk Plaza","12/30/1899 17:16:00","12/30/1899 17:18:00","R68","B","L",0.93
11,"03/05/2012 00:00:00","Newkirk Plaza","Kings Highway","12/30/1899 17:18:00","12/30/1899 17:23:00","R68","B","R",0.91
12,"03/05/2012 00:00:00","Kings Highway","Sheepshead Bay","12/30/1899 17:24:00","12/30/1899 17:26:00","R68","B","L",0.61
13,"02/24/2012 00:00:00","DeKalb Ave","Atlantic Ave","12/30/1899 15:43:00","12/30/1899 15:46:00","R68","B","L",0.83
14,"02/22/2012 00:00:00","55 Street","50 Street","12/30/1899 19:17:00","12/30/1899 19:18:00","R68","D","R",0.4
15,"02/24/2012 00:00:00","Newkirk Plaza","Kings Highway","12/30/1899 15:57:00","12/30/1899 16:00:00","R68","B","R",0.73
16,"02/22/2012 00:00:00","Stillwell - Coney Island","Bay 50th St","12/30/1899 18:30:00","12/30/1899 18:33:00","R68","D","R",0.14
17,"03/04/2012 00:00:00","14 St / 8 Ave","West 4th Street","12/30/1899 18:44:00","12/30/1899 18:46:00","R32","C","R",0.4
18,"03/04/2012 00:00:00","West 4th Street","Spring St","12/30/1899 18:46:00","12/30/1899 18:49:00","R32","C","R",0.34
19,"03/04/2012 00:00:00","Spring St","Canal St","12/30/1899 18:49:00","12/30/1899 18:50:00","R32","C","R",0.44
20,"03/04/2012 00:00:00","Canal St","Chambers St","12/30/1899 18:51:00","12/30/1899 18:53:00","R32","C","R",0.78
21,"03/04/2012 00:00:00","Chambers St","Fulton-Bway-Nassau","12/30/1899 18:54:00","12/30/1899 18:56:00","R32","C","R",0.8
22,"03/04/2012 00:00:00","Fulton-Bway-Nassau","High St","12/30/1899 18:56:00","12/30/1899 18:58:00","R32","C","R",0.72
23,"03/04/2012 00:00:00","High St","Jay St - Metro Tech","12/30/1899 18:58:00","12/30/1899 19:01:00","R32","C","R",0.84
24,"03/01/2012 00:00:00","Spring St","Canal St","12/30/1899 08:46:00","12/30/1899 08:48:00","R142a","6","R",0.56
25,"02/21/2012 00:00:00","B'klyn Bridge","Canal St","12/30/1899 16:27:00","12/30/1899 16:30:00","R142b","6","L",0.45
26,"02/21/2012 00:00:00","Bowling Green","Wall Street","12/30/1899 18:58:00","12/30/1899 18:59:00","R142b","4","L",0.4
27,"02/21/2012 00:00:00","B'klyn Bridge","Canal St","12/30/1899 19:03:00","12/30/1899 19:05:00","R142b","6","L",0.58
28,"02/23/2012 00:00:00","Park Place","Chambers St","12/30/1899 15:14:00","12/30/1899 15:15:00","R142b","2","L",0.48
29,"02/23/2012 00:00:00","Fulton Street","Park Place","12/30/1899 15:12:00","12/30/1899 15:13:00","R142b","2","L",0.5
30,"02/23/2012 00:00:00","Chambers St","14 St / 7 Ave","12/30/1899 15:16:00","12/30/1899 15:18:00","R142b","2","L",0.4
31,"02/26/2012 00:00:00","Bowling Green","Borough Hall","12/30/1899 14:10:00","12/30/1899 14:14:00","R142b","4","L",0.58
32,"02/26/2012 00:00:00","Borough Hall","Nevins Street","12/30/1899 14:14:00","12/30/1899 14:15:00","R142b","4","L",0.6
33,"02/26/2012 00:00:00","Atlantic Ave","Franklin Ave","12/30/1899 14:18:00","12/30/1899 14:21:00","R142b","4","L",0.3
34,"02/26/2012 00:00:00","Franklin Ave","Utica Ave","12/30/1899 14:21:00","12/30/1899 14:24:00","R142a","4","R",0.41
35,"02/27/2012 00:00:00","Newkirk Ave","Beverly Road","12/30/1899 08:23:00","12/30/1899 08:25:00","R142a","5","L",1
36,"02/28/2012 00:00:00","Franklin Street","Canal Street","12/30/1899 17:00:00","12/30/1899 17:01:00","R62","1","R",0.36
37,"02/28/2012 00:00:00","Chambers St","Franklin Street","12/30/1899 16:59:00","12/30/1899 17:00:00","R62","1","R",0.2
38,"02/28/2012 00:00:00","Rector Street","Chambers St","12/30/1899 16:56:00","12/30/1899 16:59:00","R62","1","R",0.45
39,"02/28/2012 00:00:00","South Ferry","Rector Street","12/30/1899 16:55:00","12/30/1899 16:56:00","R62","1","R",0.34
40,"03/08/2012 00:00:00","Wall Street","Clark Street","12/30/1899 10:11:00","12/30/1899 10:14:00","R62","3","L",0.2
41,"03/14/2012 00:00:00","Canal Street","Houston Street","12/30/1899 17:40:00","12/30/1899 17:41:00","R62","1","R",0.64
42,"03/14/2012 00:00:00","Franklin Street","Canal Street","12/30/1899 17:39:00","12/30/1899 17:40:00","R62","1","R",0.45
43,"03/14/2012 00:00:00","Chambers St","Franklin Street","12/30/1899 17:37:00","12/30/1899 17:39:00","R62","1","R",0.5
44,"03/14/2012 00:00:00","14 St / 7 Ave","18 Street","12/30/1899 17:44:00","12/30/1899 17:45:00","R62","1","R",0.62
45,"03/14/2012 00:00:00","Rector Street","Chambers St","12/30/1899 17:36:00","12/30/1899 17:37:00","R62","1","R",0.3
46,"02/23/2012 00:00:00","East 105 Street","Canarsie RkPkwy","12/30/1899 18:25:00","12/30/1899 18:27:00","R143a","L","L",0.71
47,"03/07/2012 00:00:00","DeKalb Avenue","Canal Street","12/30/1899 17:00:00","12/30/1899 17:06:00","R160a","Q","R",0.65
48,"02/21/2012 00:00:00",,"Norwood Ave",,"12/30/1899 17:14:00","R160a","J","R",0.75
49,"02/28/2012 00:00:00","Essex Street","Marcy Ave","12/30/1899 07:59:00","12/30/1899 08:05:00","R160b","M","R",0.32
50,"02/22/2012 00:00:00","WTC","Canal Street","12/30/1899 17:40:00","12/30/1899 17:41:00","R160a","E",,0.68
51,"02/24/2012 00:00:00","WTC","Canal Street","12/30/1899 17:32:00","12/30/1899 17:33:00","R160b","E","L",0.34
52,"02/26/2012 00:00:00","34 St / 6 Ave","Rockefeller Ctr","12/30/1899 18:53:00","12/30/1899 18:54:00","R160b","F",,0.59
53,"02/21/2012 00:00:00","B'way-Lafayette","West 4 Street","12/30/1899 21:13:00","12/30/1899 21:16:00","R160b","M","R",0.2
54,"02/21/2012 00:00:00","B'way-Lafayette","Essex Street","12/30/1899 20:47:00","12/30/1899 20:49:00","R160b","M","R",0.57
55,"02/21/2012 00:00:00","Essex Street","Marcy Ave","12/30/1899 20:50:00","12/30/1899 20:57:00","R160b","M","R",0.75
56,"02/21/2012 00:00:00","Marcy Ave","Essex Street","12/30/1899 21:04:00","12/30/1899 21:10:00","R160b","M","R",0.9
57,"02/21/2012 00:00:00","Essex Street","B'way-Lafayette","12/30/1899 21:11:00",,"R160b","M","R",0.16
58,"02/23/2012 00:00:00","Atlantic - ENY","Sutter Avenue","12/30/1899 18:19:00","12/30/1899 18:21:00","R160b","L","L",0.61
60,"02/21/2012 00:00:00","B'way Junction","Alabama Ave","12/30/1899 17:08:00","12/30/1899 17:11:00","R160b","J","L",0.84
61,"02/21/2012 00:00:00","Halsey Street","Chauncey St",,"12/30/1899 17:06:00","R160b","J","L",0.82
62,"02/23/2012 00:00:00","Livonia Avenue","New Lots Ave","12/30/1899 18:22:00","12/30/1899 18:24:00","R160b","L","L",0.7
64,"02/22/2012 00:00:00","Ocean Parkway","West 8 Street","12/30/1899 18:14:00","12/30/1899 18:16:00","R160a","Q","L",0.23
66,"02/21/2012 00:00:00","WTC","Canal Street","12/30/1899 16:33:00","12/30/1899 16:37:00","R160a","E","L",0.73
