"Record_ID","Form_ID","Gender","Space","Large_Psgr","Legs_on_Seat","Bag"
63,1,"F","01a",0,0,0
64,1,"M","03f",0,0,0
65,1,"M","04f",0,0,0
66,1,"F","07a",0,0,0
67,1,"F","08a",0,0,0
70,1,"M","08f",0,0,0
71,1,"F","09f",0,0,0
68,1,"F","10a",0,0,0
69,1,"F","11a",0,0,0
72,1,"M","11f",0,0,0
73,1,"M","12f",0,0,0
74,1,"M","13f",0,0,0
75,1,"F","14a",0,0,0
76,1,"F","16f",0,0,0
77,1,"M","17f",0,0,0
83,1,"F","18a",0,0,0
84,1,"F","19a",0,0,0
78,1,"M","19f",0,0,0
85,1,"M","20a",0,0,0
79,1,"F","20f",0,0,0
80,1,"F","21f",0,0,0
81,1,"F","22f",0,0,0
86,1,"M","23a",0,0,0
82,1,"F","23f",0,0,0
87,1,"F","24a",0,0,0
88,1,"M","25a",0,0,0
93,1,"M","25f",0,0,0
89,1,"M","26a",0,0,0
94,1,"M","26f",0,0,0
90,1,"F","27a",0,0,0
95,1,"M","27f",0,0,0
91,1,"F","28a",0,0,0
96,1,"F","28f",0,0,0
92,1,"F","29a",0,0,0
97,1,"M","29f",0,0,0
99,1,"M","30a",0,0,0
98,1,"M","31f",0,0,0
100,2,"M","02a",0,0,0
101,2,"M","02f",0,0,0
102,2,"M","05a",0,0,0
103,2,"M","05f",0,0,0
104,2,"F","08a",0,0,0
106,2,"F","08f",0,0,0
105,2,"M","10a",0,0,0
107,2,"M","11f",0,0,0
108,2,"F","13a",0,0,0
109,2,"F","13f",0,0,0
110,2,"M","16f",0,0,0
111,2,"F","21a",0,0,0
112,2,"F","21f",0,0,0
113,2,"F","24a",0,0,0
114,2,"M","24f",0,0,0
115,2,"F","27a",0,0,0
116,2,"M","27f",0,0,0
117,2,"F","30a",0,0,0
118,2,"F","30f",0,0,0
119,2,"M","32a",0,0,0
120,2,"F","32e",0,0,0
121,2,"F","33a",0,0,0
122,2,"F","34f",0,0,0
123,2,"F","35a",0,0,0
124,2,"F","35f",0,0,0
125,2,"M","38a",0,0,0
126,2,"M","38f",0,0,0
127,3,"G","01a",0,0,0
128,3,"M","01f",0,0,0
