"Car_Class","Space","Position","Pole","Wall","Door","Map","Legroom","Perpendicular","SeatPole","Vestibule"
"R142a","01a",2,0,1,6,0,0,0,0,0
"R142a","01b",0,1,4,0,0,0,0,0,0
"R142a","01c",0,1,4,0,0,0,0,0,0
"R142a","01d",0,1,4,0,0,0,0,0,0
"R142a","01e",2,0,2,5,0,0,0,0,0
"R142a","02.5a",0,0,0,4,0,0,0,0,0
"R142a","02.5b",0,1,0,0,0,0,0,0,1
"R142a","02.5c",0,1,0,0,0,0,0,0,1
"R142a","02.5d",0,1,0,0,0,0,0,0,1
"R142a","02.5e",0,0,0,4,0,0,0,0,0
"R142a","02a",0,0,0,3,0,0,0,0,0
"R142a","02b",0,1,0,0,0,0,0,0,1
"R142a","02c",0,1,0,0,0,0,0,0,1
"R142a","02d",0,1,0,0,0,0,0,0,1
"R142a","02e",0,0,0,3,0,0,0,0,0
"R142a","03a",0,1,0,3,0,0,0,0,0
"R142a","03b",0,1,0,0,0,0,0,0,1
"R142a","03c",0,1,0,0,0,0,0,0,1
"R142a","03d",0,1,0,0,0,0,0,0,1
"R142a","03e",0,1,0,3,0,0,0,0,0
"R142a","04a",1,0,0,1,2,0,0,0,0
"R142a","04b",0,1,0,0,0,0,0,0,0
"R142a","04c",0,0,0,0,0,0,0,0,0
"R142a","04d",0,1,0,0,3,0,0,0,0
"R142a","04e",1,0,0,2,1,0,0,0,0
"R142a","05a",1,0,0,0,2,0,0,0,0
"R142a","05b",0,0,0,0,0,0,0,0,0
"R142a","05c",0,0,0,0,0,0,0,0,0
"R142a","05d",0,0,0,0,3,0,0,0,0
"R142a","05e",1,0,0,0,1,0,0,0,0
"R142a","06a",1,0,0,0,2,0,0,0,0
"R142a","06b",0,0,0,0,0,0,0,0,0
"R142a","06c",0,1,0,0,0,0,0,0,0
"R142a","06d",0,1,0,0,3,0,0,0,0
"R142a","06e",1,0,0,0,1,0,0,1,0
"R142a","07a",1,0,0,0,0,0,0,2,0
"R142a","07b",0,1,0,0,0,0,0,0,0
"R142a","07c",0,0,0,0,0,0,0,0,0
"R142a","07d",0,1,0,0,0,0,0,0,0
"R142a","07e",1,0,0,0,0,0,0,2,0
"R142a","08a",1,0,0,0,0,0,0,1,0
